[24.12.2021 21:14.06.388] [LOG]   Starting MagicMirror: v2.14.0
[24.12.2021 21:14.06.434] [LOG]   Loading config ...
[24.12.2021 21:14.06.468] [LOG]   Loading module helpers ...
[24.12.2021 21:14.08.411] [LOG]   Initializing new module helper ...
[24.12.2021 21:14.08.417] [LOG]   Module helper loaded: MMM-GooglePhotos
[24.12.2021 21:14.08.426] [LOG]   No helper found for module: currentweather.
[24.12.2021 21:14.08.431] [LOG]   No helper found for module: MagicMirror-QuoteCatalog.
[24.12.2021 21:14.11.201] [LOG]   Initializing new module helper ...
[24.12.2021 21:14.11.205] [LOG]   Module helper loaded: MMM-History
[24.12.2021 21:14.13.341] [LOG]   Initializing new module helper ...
[24.12.2021 21:14.13.345] [LOG]   Module helper loaded: newsfeed
[24.12.2021 21:14.13.349] [LOG]   All module helpers loaded.
[24.12.2021 21:14.13.873] [LOG]   Starting server on port 8080 ... 
[24.12.2021 21:14.13.993] [LOG]   Server started ...
[24.12.2021 21:14.13.999] [LOG]   Connecting socket for: MMM-GooglePhotos
[24.12.2021 21:14.14.006] [LOG]   Connecting socket for: MMM-History
[24.12.2021 21:14.14.011] [LOG]   Starting module: MMM-History
[24.12.2021 21:14.14.015] [LOG]   Connecting socket for: newsfeed
[24.12.2021 21:14.14.020] [LOG]   Starting node helper for: newsfeed
[24.12.2021 21:14.14.023] [LOG]   Sockets connected & modules started ...
[24.12.2021 21:14.14.028] [LOG]   
Ready to go! Please point your browser to: http://localhost:8080
[24.12.2021 21:20.03.509] [LOG]   Create new news fetcher for url: https://rss.nytimes.com/services/xml/rss/nyt/HomePage.xml - Interval: 300000
[24.12.2021 21:20.12.644] [INFO]  Newsfeed-Fetcher: Broadcasting 58 items.
[24.12.2021 21:25.16.257] [INFO]  Newsfeed-Fetcher: Broadcasting 58 items.
